   z        r        Bz       Br       Btot
   20.00     2.00 -4.39627  0.03445  4.39641
   21.00     2.00 -4.36343  0.03455  4.36356
   22.00     2.00 -4.32736  0.03689  4.32752
   23.00     2.00 -4.28957  0.03905  4.28975
   24.00     2.00 -4.24968  0.04110  4.24988
   25.00     2.00 -4.20552  0.04377  4.20575
   26.00     2.00 -4.15862  0.04647  4.15888
   27.00     2.00 -4.11149  0.04932  4.11178
   28.00     2.00 -4.06014  0.05161  4.06047
   29.00     2.00 -4.00848  0.05422  4.00885
   30.00     2.00 -3.95374  0.05733  3.95416
   31.00     2.00 -3.89364  0.06109  3.89412
   32.00     2.00 -3.83343  0.06393  3.83396
   33.00     2.00 -3.77097  0.06455  3.77152
   34.00     2.00 -3.70218  0.06697  3.70278
   35.00     2.00 -3.63536  0.06936  3.63602
   36.00     2.00 -3.56490  0.07229  3.56563
   37.00     2.00 -3.49150  0.07460  3.49230
   38.00     2.00 -3.41622  0.07641  3.41707
   39.00     2.00 -3.33817  0.07807  3.33908
   40.00     2.00 -3.25978  0.08094  3.26078
   41.00     2.00 -3.17739  0.08297  3.17848
   42.00     2.00 -3.09570  0.08387  3.09683
   43.00     2.00 -3.00996  0.08486  3.01116
   44.00     2.00 -2.92416  0.08583  2.92542
   45.00     2.00 -2.83877  0.08627  2.84008
   46.00     2.00 -2.75187  0.08649  2.75323
   47.00     2.00 -2.66496  0.08679  2.66637
   48.00     2.00 -2.57832  0.08679  2.57978
   49.00     2.00 -2.49187  0.08615  2.49336
   50.00     2.00 -2.40536  0.08540  2.40688
   51.00     2.00 -2.32019  0.08457  2.32173
   52.00     2.00 -2.23607  0.08311  2.23761
   53.00     2.00 -2.15406  0.08194  2.15562
   54.00     2.00 -2.07309  0.08104  2.07468
   55.00     2.00 -1.99259  0.07866  1.99414
   56.00     2.00 -1.91590  0.07567  1.91739
   57.00     2.00 -1.84153  0.07506  1.84306
   58.00     2.00 -1.76894  0.07251  1.77043
   59.00     2.00 -1.69764  0.06964  1.69907
   60.00     2.00 -1.63077  0.06739  1.63216
   61.00     2.00 -1.56325  0.06492  1.56459
   62.00     2.00 -1.50035  0.06238  1.50165
   63.00     2.00 -1.43743  0.06018  1.43869
   64.00     2.00 -1.38048  0.05774  1.38169
   65.00     2.00 -1.32337  0.05528  1.32452
   66.00     2.00 -1.27056  0.05320  1.27167
   67.00     2.00 -1.21969  0.05101  1.22075
   68.00     2.00 -1.16882  0.04881  1.16984
   69.00     2.00 -1.11921  0.04655  1.12017
   70.00     2.00 -1.07559  0.04416  1.07650
   71.00     2.00 -1.03158  0.04221  1.03244
   72.00     2.00 -0.98806  0.04046  0.98889
   73.00     2.00 -0.94855  0.03880  0.94934
   74.00     2.00 -0.91089  0.03679  0.91163
   75.00     2.00 -0.87539  0.03449  0.87607
   76.00     2.00 -0.83977  0.03374  0.84044
   77.00     2.00 -0.80802  0.03235  0.80867
   78.00     2.00 -0.77614  0.03086  0.77675
   79.00     2.00 -0.74649  0.02918  0.74706
   80.00     2.00 -0.71857  0.02776  0.71911
   81.00     2.00 -0.69093  0.02653  0.69144
   82.00     2.00 -0.66422  0.02543  0.66470
   83.00     2.00 -0.63997  0.02485  0.64045
   84.00     2.00 -0.61601  0.02367  0.61647
   85.00     2.00 -0.59246  0.02208  0.59287
   86.00     2.00 -0.57196  0.02094  0.57234
   87.00     2.00 -0.55102  0.01986  0.55138
   88.00     2.00 -0.53128  0.01933  0.53163
   89.00     2.00 -0.51241  0.01828  0.51274
   90.00     2.00 -0.49448  0.01715  0.49477
   91.00     2.00 -0.47728  0.01677  0.47757
   92.00     2.00 -0.46100  0.01601  0.46127
   93.00     2.00 -0.44584  0.01502  0.44609
   94.00     2.00 -0.43032  0.01452  0.43057
   95.00     2.00 -0.41560  0.01435  0.41585
   96.00     2.00 -0.40235  0.01376  0.40259
   97.00     2.00 -0.38903  0.01309  0.38925
   98.00     2.00 -0.37616  0.01233  0.37636
   99.00     2.00 -0.36392  0.01183  0.36411
  100.00     2.00 -0.35217  0.01144  0.35236
  101.00     2.00 -0.34120  0.01114  0.34138
  102.00     2.00 -0.33024  0.01039  0.33041
  103.00     2.00 -0.32045  0.00988  0.32060
  104.00     2.00 -0.31031  0.00962  0.31046
  105.00     2.00 -0.30082  0.00943  0.30096
  106.00     2.00 -0.29193  0.00895  0.29207
  107.00     2.00 -0.28305  0.00847  0.28317
  108.00     2.00 -0.27466  0.00825  0.27478
  109.00     2.00 -0.26669  0.00784  0.26680
  110.00     2.00 -0.25876  0.00758  0.25887
  111.00     2.00 -0.25141  0.00740  0.25151
  112.00     2.00 -0.24421  0.00701  0.24431
  113.00     2.00 -0.23738  0.00678  0.23748
  114.00     2.00 -0.23070  0.00660  0.23080
  115.00     2.00 -0.22421  0.00631  0.22430
  116.00     2.00 -0.21804  0.00607  0.21812
  117.00     2.00 -0.21202  0.00591  0.21210
  118.00     2.00 -0.20636  0.00567  0.20644
  119.00     2.00 -0.20072  0.00544  0.20080
  120.00     2.00 -0.19540  0.00524  0.19547
  121.00     2.00 -0.19021  0.00503  0.19028
  122.00     2.00 -0.18525  0.00497  0.18532
  123.00     2.00 -0.18047  0.00474  0.18053
  124.00     2.00 -0.17585  0.00461  0.17591
  125.00     2.00 -0.17140  0.00446  0.17146
  126.00     2.00 -0.16691  0.00425  0.16697
  127.00     2.00 -0.16283  0.00408  0.16289
  128.00     2.00 -0.15876  0.00400  0.15881
  129.00     2.00 -0.15481  0.00382  0.15486
  130.00     2.00 -0.15110  0.00371  0.15114
  131.00     2.00 -0.14737  0.00363  0.14741
  132.00     2.00 -0.14381  0.00351  0.14385
  133.00     2.00 -0.14033  0.00340  0.14038
  134.00     2.00 -0.13701  0.00326  0.13705
  135.00     2.00 -0.13387  0.00318  0.13391
  136.00     2.00 -0.13071  0.00309  0.13075
  137.00     2.00 -0.12762  0.00298  0.12766
  138.00     2.00 -0.12476  0.00287  0.12479
  139.00     2.00 -0.12193  0.00280  0.12196
  140.00     2.00 -0.11912  0.00272  0.11915
  141.00     2.00 -0.11648  0.00264  0.11651
  142.00     2.00 -0.11385  0.00256  0.11388
  143.00     2.00 -0.11138  0.00246  0.11141
  144.00     2.00 -0.10899  0.00239  0.10901
  145.00     2.00 -0.10655  0.00232  0.10657
  146.00     2.00 -0.10424  0.00227  0.10427
  147.00     2.00 -0.10198  0.00221  0.10201
  148.00     2.00 -0.09984  0.00218  0.09987
  149.00     2.00 -0.09783  0.00212  0.09785
    0.00     3.00 -4.70291  0.00038  4.70291
    1.00     3.00 -4.70399  0.00187  4.70399
    2.00     3.00 -4.70081  0.00465  4.70081
    3.00     3.00 -4.69722  0.00687  4.69723
    4.00     3.00 -4.69366  0.00909  4.69366
    5.00     3.00 -4.68610  0.01083  4.68612
    6.00     3.00 -4.67782  0.01253  4.67784
    7.00     3.00 -4.66917  0.01466  4.66920
    8.00     3.00 -4.65932  0.01783  4.65935
    9.00     3.00 -4.64619  0.01891  4.64623
   10.00     3.00 -4.63212  0.02124  4.63217
   11.00     3.00 -4.61704  0.02402  4.61711
   12.00     3.00 -4.60036  0.02748  4.60044
   13.00     3.00 -4.58209  0.02891  4.58218
   14.00     3.00 -4.56061  0.03125  4.56072
   15.00     3.00 -4.53794  0.03469  4.53807
   16.00     3.00 -4.51519  0.03796  4.51535
   17.00     3.00 -4.48806  0.03948  4.48824
   18.00     3.00 -4.45879  0.04280  4.45900
   19.00     3.00 -4.42985  0.04618  4.43009
   20.00     3.00 -4.39916  0.04931  4.39944
   21.00     3.00 -4.36577  0.05277  4.36609
   22.00     3.00 -4.32846  0.05635  4.32883
   23.00     3.00 -4.29158  0.05980  4.29199
   24.00     3.00 -4.25228  0.06253  4.25273
   25.00     3.00 -4.20865  0.06518  4.20916
   26.00     3.00 -4.16175  0.06827  4.16231
